User ID,Id,StepTotal,Calories,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes
1,1503960366,18134,2159,78,243,11,1108
1,1503960366,15506,2035,50,264,31,775
1,1503960366,15355,2013,73,216,14,814
1,1503960366,14727,2004,41,277,15,798
1,1503960366,15103,1990,50,254,24,816
1,1503960366,13162,1985,25,328,13,728
1,1503960366,13755,1970,31,279,23,833
1,1503960366,14070,1959,45,250,24,857
1,1503960366,14371,1949,41,262,21,732
1,1503960366,14673,1947,52,217,34,712
1,1503960366,13019,1921,42,233,16,1149
1,1503960366,13154,1898,48,189,28,782
1,1503960366,12159,1896,24,289,6,754
1,1503960366,12669,1863,36,221,10,773
1,1503960366,12207,1859,46,214,31,746
1,1503960366,11181,1837,16,243,12,815
1,1503960366,12764,1827,66,130,27,1217
1,1503960366,11992,1821,37,175,46,833
1,1503960366,10602,1820,33,246,35,730
1,1503960366,12022,1819,46,206,11,835
1,1503960366,11100,1819,36,203,22,1179
1,1503960366,10735,1797,21,217,19,776
1,1503960366,10039,1788,39,238,5,709
1,1503960366,10544,1786,28,205,12,818
1,1503960366,12770,1783,36,251,23,669
1,1503960366,10460,1776,30,181,11,1218
1,1503960366,9819,1775,19,211,8,838
1,1503960366,9762,1745,29,209,34,726
1,1503960366,10060,1740,44,203,8,574
1,1503960366,9705,1728,38,164,20,539
1,1503960366,0,0,0,0,0,1440
2,1624580081,36019,2690,186,171,63,1020
2,1624580081,8367,1670,17,154,36,1233
2,1624580081,6474,1655,11,224,23,1182
2,1624580081,6076,1617,16,185,18,1221
2,1624580081,10536,1604,17,202,7,1214
2,1624580081,9107,1572,0,236,0,1204
2,1624580081,8538,1562,0,227,0,1213
2,1624580081,6175,1554,15,127,22,1276
2,1624580081,7155,1497,7,166,6,1261
2,1624580081,6497,1492,0,202,0,1238
2,1624580081,2104,1474,0,182,0,1258
2,1624580081,4026,1470,0,199,0,1241
2,1624580081,6349,1467,0,186,0,1254
2,1624580081,5370,1463,0,176,0,1264
2,1624580081,4974,1446,0,151,0,1289
2,1624580081,2916,1435,0,141,0,1299
2,1624580081,8163,1432,0,146,0,1294
2,1624580081,3427,1427,0,152,0,1288
2,1624580081,7007,1411,0,148,0,1292
2,1624580081,2390,1404,0,150,0,1290
2,1624580081,2826,1402,0,140,0,1300
2,1624580081,2759,1401,0,115,5,1320
2,1624580081,2969,1393,0,139,0,1301
2,1624580081,2470,1370,0,117,0,1323
2,1624580081,2193,1368,0,118,0,1322
2,1624580081,3134,1359,0,112,0,1328
2,1624580081,1510,1344,0,96,0,1344
2,1624580081,1727,1341,0,102,0,1338
2,1624580081,2100,1334,0,96,0,1344
2,1624580081,1732,1328,0,91,0,1349
2,1624580081,2971,1002,0,107,0,890
3,1644430081,18213,3846,9,402,71,816
3,1644430081,15300,3493,51,212,42,1135
3,1644430081,13372,3404,41,243,17,1139
3,1644430081,9787,3328,11,369,6,1054
3,1644430081,12850,3324,10,221,94,1115
3,1644430081,11256,3300,5,278,58,1099
3,1644430081,11037,3226,5,252,58,1125
3,1644430081,10694,3199,2,256,51,1131
3,1644430081,9919,3123,11,223,41,1165
3,1644430081,9405,3108,3,227,53,1157
3,1644430081,8757,3011,29,186,13,1212
3,1644430081,6643,3008,32,303,6,1099
3,1644430081,6724,2987,0,295,0,991
3,1644430081,8001,2902,30,135,16,1259
3,1644430081,7132,2806,15,121,33,1271
3,1644430081,9167,2799,12,155,19,1254
3,1644430081,5263,2750,3,170,4,1263
3,1644430081,6132,2696,3,146,24,908
3,1644430081,6637,2677,0,160,15,1265
3,1644430081,3758,2580,1,148,7,682
3,1644430081,3176,2498,0,120,0,1193
3,1644430081,3580,2497,8,94,1,1337
3,1644430081,3032,2489,0,118,0,1322
3,1644430081,4363,2463,6,81,12,1341
3,1644430081,2436,2430,0,125,0,1315
3,1644430081,3321,2413,0,89,0,1351
3,1644430081,3673,2344,0,86,0,1354
3,1644430081,2309,2222,0,52,0,1388
3,1644430081,1223,2140,0,38,0,1402
3,1644430081,1329,1276,0,49,0,713
4,1844505072,7937,2130,0,373,0,843
4,1844505072,8054,2062,2,308,13,1117
4,1844505072,6697,2030,0,339,0,1101
4,1844505072,6907,1992,0,302,0,1138
4,1844505072,4929,1860,0,248,0,1192
4,1844505072,4920,1856,0,247,0,1082
4,1844505072,5372,1827,0,220,0,1220
4,1844505072,4597,1814,0,217,12,1211
4,1844505072,4525,1793,2,199,8,1231
4,1844505072,4014,1763,0,184,0,218
4,1844505072,4059,1742,0,184,0,1256
4,1844505072,3844,1725,0,176,0,527
4,1844505072,3414,1657,0,147,0,1293
4,1844505072,3570,1645,0,139,0,1301
4,1844505072,2237,1589,0,120,0,1320
4,1844505072,2080,1549,0,87,0,1353
4,1844505072,2573,1541,0,75,7,585
4,1844505072,197,1366,0,10,0,1430
4,1844505072,44,1351,0,2,0,1438
4,1844505072,8,1349,0,1,0,1439
4,1844505072,4,1348,0,1,0,1439
4,1844505072,0,1348,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,1347,0,0,0,1440
4,1844505072,0,665,0,0,0,711
5,1927972279,3761,2638,0,192,0,1058
5,1927972279,3790,2505,16,94,8,1322
5,1927972279,2945,2499,0,145,0,1295
5,1927972279,2704,2411,14,70,1,1355
5,1927972279,2091,2383,0,108,0,1332
5,1927972279,2163,2383,0,88,9,1292
5,1927972279,1675,2351,0,95,0,1167
5,1927972279,1786,2338,0,87,0,1353
5,1927972279,2090,2324,1,75,6,1358
5,1927972279,1510,2229,0,48,0,1392
5,1927972279,980,2221,0,51,0,941
5,1927972279,678,2220,0,55,0,734
5,1927972279,1326,2195,10,17,0,1413
5,1927972279,356,2151,0,32,0,986
5,1927972279,244,2111,0,17,0,1423
5,1927972279,152,2100,0,12,0,1303
5,1927972279,149,2093,0,10,0,1430
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2064,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,2063,0,0,0,1440
5,1927972279,0,1383,0,0,0,966
6,2022484408,12453,3158,104,255,53,1028
6,2022484408,15112,2897,48,276,63,1053
6,2022484408,12798,2797,57,271,28,1084
6,2022484408,10119,2793,55,275,24,1086
6,2022484408,15112,2782,28,331,29,1052
6,2022484408,14131,2770,48,311,3,1078
6,2022484408,12183,2752,72,250,14,1104
6,2022484408,18387,2732,13,361,23,1043
6,2022484408,13379,2709,35,297,47,1061
6,2022484408,11768,2649,36,272,27,1105
6,2022484408,12954,2638,52,273,10,1105
6,2022484408,10245,2611,21,281,40,1098
6,2022484408,11895,2609,55,253,20,1112
6,2022484408,12024,2601,43,292,5,1100
6,2022484408,13272,2544,58,224,25,1133
6,2022484408,13481,2529,37,216,26,1161
6,2022484408,11034,2525,27,282,9,1122
6,2022484408,10227,2498,24,295,17,1104
6,2022484408,11548,2489,31,250,7,1152
6,2022484408,10379,2473,36,277,8,1119
6,2022484408,11369,2470,44,217,8,1171
6,2022484408,10159,2463,19,282,20,1119
6,2022484408,11875,2390,42,227,14,1157
6,2022484408,10538,2380,25,245,28,1142
6,2022484408,10690,2312,32,257,3,1148
6,2022484408,10140,2296,6,291,20,1123
6,2022484408,10100,2177,41,151,11,1237
6,2022484408,6001,2069,0,249,0,1191
6,2022484408,6708,1995,20,149,2,1269
6,2022484408,9117,1853,16,236,16,728
6,2022484408,3292,1848,0,135,0,1305
7,2026352035,12167,1926,0,475,0,479
7,2026352035,12357,1916,0,432,0,458
7,2026352035,10685,1869,0,401,0,543
7,2026352035,8198,1736,0,383,0,511
7,2026352035,8580,1698,0,330,0,569
7,2026352035,7604,1692,0,352,0,492
7,2026352035,7018,1690,0,355,0,716
7,2026352035,7222,1667,0,327,0,623
7,2026352035,6564,1658,0,345,0,530
7,2026352035,6375,1649,0,331,0,626
7,2026352035,5992,1604,0,304,0,981
7,2026352035,5933,1595,0,288,0,1018
7,2026352035,6088,1593,0,286,0,586
7,2026352035,6017,1576,0,260,0,821
7,2026352035,5528,1555,0,258,0,610
7,2026352035,4993,1521,0,238,0,663
7,2026352035,4729,1506,0,233,0,594
7,2026352035,4193,1491,0,229,0,665
7,2026352035,4414,1459,3,181,8,706
7,2026352035,3609,1447,0,191,0,716
7,2026352035,3821,1444,0,188,0,687
7,2026352035,3335,1431,0,197,0,653
7,2026352035,3325,1419,0,182,0,1062
