ActivityDay,Id,Calories,Total_Active_Minutes
2016-04-12,1624580081,1432,146
2016-04-12,1844505072,2030,339
2016-04-12,1927972279,2220,55
2016-04-12,3372868164,1788,280
2016-04-12,4057192912,2286,164
2016-04-12,4319703577,2115,0
2016-04-12,4388161847,2955,0
2016-04-12,4445114986,2113,196
2016-04-12,4558609924,1909,318
2016-04-12,4702921684,2947,263
2016-04-12,6290855005,2560,199
2016-04-12,8792009665,2044,116
2016-04-12,8253242879,2044,196
2016-04-12,7086361926,2772,218
2016-04-12,8877689391,3921,404
2016-04-12,2026352035,1459,192
2016-04-12,7007744171,2937,416
2016-04-12,8053475328,3186,247
2016-04-12,2320127002,2124,328
2016-04-12,1503960366,1985,366
2016-04-12,2347167796,2344,361
2016-04-12,5553957443,2026,309
2016-04-12,2022484408,2390,283
2016-04-12,6962181067,1994,253
2016-04-12,4020332650,3654,350
2016-04-12,8378563200,3635,236
2016-04-12,5577150313,3405,242
2016-04-12,3977333714,1450,194
2016-04-12,2873212765,1982,379
2016-04-12,1644430081,3199,309
2016-04-12,6117666160,1496,0
2016-04-12,6775888955,1841,0
2016-04-12,8583815059,2650,203
2016-04-13,1624580081,1411,148
2016-04-13,1844505072,1860,248
2016-04-13,1927972279,2151,32
2016-04-13,2026352035,1521,238
2016-04-13,4057192912,2306,160
2016-04-13,4445114986,2095,194
2016-04-13,4702921684,2898,258
2016-04-13,5553957443,1718,226
2016-04-13,6290855005,2905,350
2016-04-13,8792009665,1934,82
2016-04-13,2022484408,2601,340
2016-04-13,4558609924,1722,153
2016-04-13,2873212765,2004,412
2016-04-13,3372868164,2093,395
2016-04-13,5577150313,2551,170
2016-04-13,8253242879,1935,142
2016-04-13,8053475328,3140,263
2016-04-13,4388161847,3092,165
2016-04-13,8378563200,4079,299
2016-04-13,4319703577,2135,119
2016-04-13,1644430081,2902,181
2016-04-13,6775888955,2400,120
2016-04-13,8877689391,3566,342
2016-04-13,1503960366,1797,257
2016-04-13,7007744171,2742,339
2016-04-13,8583815059,2654,188
2016-04-13,6962181067,1718,174
2016-04-13,7086361926,2516,212
2016-04-13,2347167796,2038,246
2016-04-13,4020332650,1981,0
2016-04-13,6117666160,1496,0
2016-04-13,3977333714,1495,230
2016-04-13,2320127002,2003,335
2016-04-14,1644430081,3226,315
2016-04-14,2347167796,2010,255
2016-04-14,1624580081,1572,236
2016-04-14,1844505072,2130,373
2016-04-14,2026352035,1431,197
2016-04-14,2873212765,1893,331
2016-04-14,4020332650,2011,3
2016-04-14,4445114986,2194,231
2016-04-14,4558609924,1922,279
2016-04-14,4702921684,2984,271
2016-04-14,6290855005,2952,363
2016-04-14,6962181067,1466,86
2016-04-14,8583815059,2443,134
2016-04-14,8792009665,1963,84
2016-04-14,2022484408,2312,292
2016-04-14,8053475328,3411,317
2016-04-14,7007744171,2668,344
2016-04-14,1927972279,2383,97
2016-04-14,4319703577,2302,349
2016-04-14,1503960366,1776,222
2016-04-14,8877689391,3793,379
2016-04-14,8253242879,1705,78
2016-04-14,8378563200,4163,318
2016-04-14,3977333714,1433,242
2016-04-14,6775888955,2507,143
2016-04-14,3372868164,2065,401
2016-04-14,5577150313,4022,324
2016-04-14,7086361926,2734,256
2016-04-14,5553957443,2324,358
2016-04-14,4057192912,1776,0
2016-04-14,6117666160,1496,0
2016-04-14,4388161847,2998,264
2016-04-14,2320127002,1696,191
2016-04-15,5577150313,4005,368
2016-04-15,1624580081,1344,96
2016-04-15,1844505072,1725,176
2016-04-15,1927972279,2221,51
2016-04-15,2026352035,1444,188
2016-04-15,2873212765,2063,448
2016-04-15,3372868164,1908,335
2016-04-15,4319703577,1985,228
2016-04-15,4388161847,3066,299
2016-04-15,4445114986,2496,350
2016-04-15,6290855005,2896,328
2016-04-15,6775888955,2127,58
2016-04-15,6962181067,1756,217
2016-04-15,7007744171,2098,202
2016-04-15,8253242879,1632,105
2016-04-15,8792009665,2009,126
2016-04-15,8877689391,3934,388
2016-04-15,1644430081,2750,177
2016-04-15,4057192912,1527,97
2016-04-15,6117666160,2865,519
2016-04-15,4702921684,2896,265
2016-04-15,8053475328,3410,298
2016-04-15,2022484408,2525,318
2016-04-15,4020332650,2951,141
2016-04-15,7086361926,2395,190
2016-04-15,8378563200,3666,273
2016-04-15,2347167796,2133,309
2016-04-15,4558609924,2121,309
2016-04-15,1503960366,1745,272
2016-04-15,5553957443,2254,335
2016-04-15,3977333714,1468,240
2016-04-15,2320127002,1801,245
2016-04-15,8583815059,2505,65
2016-04-16,2347167796,2670,406
2016-04-16,3977333714,1625,267
2016-04-16,5577150313,4274,398
2016-04-16,1624580081,1463,176
2016-04-16,1844505072,1657,147
2016-04-16,2026352035,1373,150
2016-04-16,2320127002,1724,195
2016-04-16,3372868164,1908,356
2016-04-16,4319703577,1884,194
2016-04-16,4445114986,2180,225
2016-04-16,5553957443,1831,288
2016-04-16,6290855005,2783,258
2016-04-16,7007744171,2076,203
2016-04-16,8583815059,2693,0
2016-04-16,8792009665,1721,12
2016-04-16,2873212765,2148,353
2016-04-16,8053475328,2867,185
2016-04-16,4388161847,3073,268
2016-04-16,1503960366,1863,267
2016-04-16,2022484408,2177,203
2016-04-16,4558609924,1997,328
2016-04-16,6117666160,2828,540
2016-04-16,6775888955,2225,63
2016-04-16,4020332650,3051,141
2016-04-16,8378563200,3363,227
2016-04-16,4702921684,3328,362
2016-04-16,8877689391,4547,552
2016-04-16,1644430081,3493,305
2016-04-16,8253242879,1880,172
2016-04-16,1927972279,2064,0
2016-04-16,6962181067,2173,333
2016-04-16,7086361926,1635,3
2016-04-17,3977333714,1529,274
2016-04-17,4702921684,3394,380
2016-04-17,5577150313,4552,396
2016-04-17,2026352035,1214,60
2016-04-17,2320127002,1852,249
2016-04-17,4319703577,1464,3
2016-04-17,4388161847,2572,201
2016-04-17,4445114986,1933,114
2016-04-17,5553957443,1397,46
2016-04-17,6117666160,2225,312
2016-04-17,7007744171,2383,305
2016-04-17,8378563200,2572,93
2016-04-17,8583815059,2439,0
2016-04-17,3372868164,1964,335
2016-04-17,8253242879,2112,203
2016-04-17,2347167796,1882,257
2016-04-17,1844505072,1793,209
2016-04-17,2873212765,1529,168
2016-04-17,6290855005,3171,268
2016-04-17,1644430081,3011,228
2016-04-17,8877689391,3545,380
2016-04-17,4558609924,2117,330
2016-04-17,1503960366,1728,222
2016-04-17,8053475328,3213,327
2016-04-17,1624580081,1554,164
2016-04-17,2022484408,2782,388
2016-04-17,1927972279,2063,0
2016-04-17,7086361926,1629,0
2016-04-17,8792009665,1688,0
2016-04-17,6775888955,2067,48
2016-04-17,6962181067,2027,313
2016-04-17,4020332650,1990,2
2016-04-18,1927972279,2111,17
2016-04-18,2026352035,1419,182
2016-04-18,4020332650,1995,2
2016-04-18,5553957443,1683,206
2016-04-18,6290855005,2766,271
2016-04-18,2022484408,2770,362
2016-04-18,8877689391,2761,225
2016-04-18,2873212765,1890,318
2016-04-18,4445114986,2248,193
2016-04-18,8053475328,3133,303
2016-04-18,1624580081,1604,226
2016-04-18,2320127002,1905,267
2016-04-18,3372868164,2014,370
2016-04-18,4388161847,3274,274
2016-04-18,4319703577,1632,68
2016-04-18,8378563200,4157,301
2016-04-18,1844505072,1814,229
2016-04-18,4558609924,2116,360
2016-04-18,1503960366,1921,291
2016-04-18,2347167796,1944,233
2016-04-18,8253242879,1829,162
2016-04-18,8583815059,2536,131
2016-04-18,4702921684,3013,243
2016-04-18,6775888955,2798,207
2016-04-18,7007744171,2832,363
2016-04-18,5577150313,3625,276
2016-04-18,1644430081,2806,169
2016-04-18,6962181067,2039,293
2016-04-18,3977333714,1584,313
2016-04-18,8792009665,1688,0
2016-04-18,6117666160,2018,241
2016-04-18,7086361926,2743,226
2016-04-19,1644430081,3300,341
2016-04-19,3977333714,1638,307
2016-04-19,7086361926,2944,260
2016-04-19,1624580081,1435,141
2016-04-19,1844505072,1366,10
2016-04-19,2026352035,1356,141
2016-04-19,2873212765,1956,389
2016-04-19,3372868164,1985,376
2016-04-19,4319703577,2200,311
2016-04-19,4445114986,1954,121
2016-04-19,6117666160,2606,480
2016-04-19,6290855005,2839,321
2016-04-19,8253242879,1763,164
2016-04-19,2022484408,2489,288
2016-04-19,2347167796,2346,389
2016-04-19,8053475328,3114,288
2016-04-19,4702921684,2812,197
2016-04-19,4558609924,1876,258
2016-04-19,8583815059,2668,183
2016-04-19,2320127002,1811,239
2016-04-19,8877689391,3676,309
2016-04-19,4388161847,3015,285
2016-04-19,7007744171,2812,374
2016-04-19,8378563200,4092,293
2016-04-19,5577150313,3501,242
2016-04-19,5553957443,2284,346
2016-04-19,1503960366,2035,345
2016-04-19,6962181067,2046,271
2016-04-19,1927972279,2063,0
2016-04-19,4020332650,1980,0
2016-04-19,6775888955,1841,0
2016-04-19,8792009665,1688,0
2016-04-20,2022484408,2897,387
2016-04-20,2347167796,2198,323
2016-04-20,3977333714,1554,264
2016-04-20,6775888955,3727,361
2016-04-20,1624580081,1446,151
2016-04-20,1644430081,2430,125
2016-04-20,2026352035,1667,327
2016-04-20,4445114986,1974,137
2016-04-20,4558609924,1788,222
2016-04-20,5553957443,1570,148
2016-04-20,6290855005,2701,258
2016-04-20,3372868164,1867,292
2016-04-20,6962181067,2174,349
2016-04-20,2873212765,2094,405
2016-04-20,8053475328,3043,252
2016-04-20,8378563200,3787,259
2016-04-20,6117666160,2536,385
2016-04-20,8792009665,2188,149
